Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2019-08-23 17:40:48,false,"Pomfret Running","9.01","493","00:55:38","132","159","2.3","166","176","6:11","4:55","304","316","1.56","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.79","10","0.0","00:55:34","00:57:13","360","595"
Running,2019-08-22 17:07:24,false,"Needham Running","7.01","632","00:51:50","158","174","4.2","165","179","7:24","6:09","127","120","1.32","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.55","8","0.0","00:51:49","00:51:50","74","128"
Running,2019-08-22 07:08:30,false,"Cambridge Running","4.08","370","00:30:04","155","179","3.3","165","172","7:22","6:38","38","41","1.32","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:34.47","5","0.0","00:30:03","00:30:48","10","51"
Running,2019-08-21 17:34:57,false,"Lexington Running","9.01","727","01:02:31","151","174","4.2","163","174","6:56","5:54","235","248","1.42","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.54","10","0.0","01:02:29","01:03:40","125","226"
Running,2019-08-20 18:09:59,false,"Cambridge Running","10.05","808","01:10:20","156","176","4.1","165","196","7:00","4:08","21","18","1.38","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:06.33","29","0.0","01:07:44","02:04:36","10","29"
Running,2019-08-19 17:36:46,false,"Needham Running","8.01","728","00:58:57","157","173","4.2","162","171","7:22","6:09","183","176","1.35","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.11","9","0.0","00:58:56","00:58:57","74","127"
Running,2019-08-18 08:38:33,false,"Mt Desert Running","15.01","1,115","01:35:28","158","179","4.2","168","180","6:22","5:23","1,244","1,238","1.51","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.32","16","0.0","01:35:09","01:44:42","265","797"
Running,2019-08-17 12:08:35,false,"Portland Running","10.01","783","01:07:06","153","176","4.3","166","178","6:42","4:46","105","104","1.45","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:23.66","21","0.0","01:07:00","01:08:55","--","40"
Running,2019-08-16 16:15:33,false,"Cambridge Running","7.01","557","00:49:21","150","173","3.6","165","174","7:02","6:02","72","77","1.38","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.04","8","0.0","00:49:19","00:50:36","7","62"
Running,2019-08-16 07:12:31,false,"Cambridge Running","4.01","315","00:30:15","142","160","3.0","165","172","7:33","7:04","36","39","1.29","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.23","5","0.0","00:30:13","00:30:38","10","51"
Running,2019-08-15 18:06:57,false,"Boston Running","9.01","949","01:05:26","176","195","5.0","165","180","7:16","6:40","133","138","1.34","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.58","10","0.0","01:05:22","01:10:33","4","89"
Running,2019-08-14 17:23:52,false,"Needham Running","12.08","1,170","01:28:20","167","190","5.0","162","200","7:19","4:29","259","267","1.34","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:11.46","28","0.0","01:27:33","01:45:17","74","131"
Running,2019-08-13 17:34:52,false,"Needham Running","8.02","742","00:58:15","159","187","4.7","164","172","7:16","6:06","200","213","1.35","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.25","9","0.0","00:58:14","00:58:15","73","129"
Running,2019-08-11 09:07:09,false,"Lexington Running","14.19","1,314","01:41:50","160","202","5.0","166","174","7:11","6:20","409","425","1.35","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:22.03","15","0.0","01:41:46","01:44:50","125","278"
Running,2019-08-10 13:17:32,false,"Cambridge Running","8.07","680","00:54:46","155","177","3.8","165","172","6:47","6:16","139","136","1.43","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:31.62","9","0.0","00:54:37","01:00:50","2","62"
Running,2019-08-09 06:41:21,false,"Cambridge Running","7.03","582","00:49:39","146","167","3.4","164","171","7:04","2:39","30","33","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:12.32","8","0.0","00:49:37","00:50:22","7","40"
Running,2019-08-08 06:18:37,false,"Cambridge Running","10.72","877","01:09:11","159","193","5.0","166","224","6:27","4:09","79","76","1.49","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:15.74","19","0.0","01:09:07","01:28:01","3","62"
Running,2019-08-07 18:18:37,false,"Needham Running","4.05","267","00:28:49","128","148","2.1","164","172","7:07","6:20","96","99","1.38","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:17.45","5","0.0","00:28:48","00:28:49","74","127"
Running,2019-08-07 06:05:27,false,"Cambridge Running","6.47","501","00:46:05","141","167","3.1","164","170","7:07","6:05","53","59","1.38","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:01.25","7","0.0","00:45:57","00:54:00","7","51"
Running,2019-08-06 17:07:47,false,"Needham Running","9.01","715","01:03:16","148","177","3.8","165","176","7:01","4:39","220","221","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:22.86","20","0.0","01:03:10","01:12:44","73","128"
Running,2019-08-05 18:46:02,false,"Needham Running","8.20","686","01:00:08","148","182","3.7","163","174","7:20","6:15","207","211","1.35","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:13.91","9","0.0","01:00:07","01:00:26","73","127"
Running,2019-08-04 09:11:12,false,"Cambridge Running","13.03","1,074","01:27:18","160","180","5.0","166","174","6:42","5:44","94","100","1.45","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:12.39","14","0.0","01:27:10","01:31:18","3","62"
Running,2019-08-03 10:55:12,false,"Concord Running","8.05","666","00:55:57","156","183","4.4","165","180","6:57","5:54","125","119","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:20.15","9","0.0","00:55:50","01:01:19","108","177"
Running,2019-08-02 15:38:19,false,"Needham Running","7.80","687","00:56:12","159","176","4.5","163","172","7:13","6:18","153","160","1.37","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:26.30","8","0.0","00:55:55","00:58:13","74","128"
Running,2019-08-01 06:38:03,false,"Cambridge Running","6.05","535","00:42:46","160","185","4.1","164","176","7:04","6:36","57","60","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:19.72","7","0.0","00:42:44","00:44:38","7","41"
Running,2019-07-31 18:21:31,false,"Lexington Running","9.04","725","01:00:04","156","183","4.3","165","184","6:39","4:32","229","214","1.47","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:39.52","19","0.0","00:59:59","01:03:34","154","226"
Running,2019-07-30 17:06:19,false,"Needham Running","7.64","715","00:57:07","155","174","4.0","161","175","7:29","6:05","137","130","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","04:12.62","8","0.0","00:57:02","00:58:17","74","118"
Running,2019-07-29 06:15:55,false,"Cambridge Running","7.01","555","00:51:27","140","162","3.1","164","172","7:20","6:41","100","101","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:03.83","8","0.0","00:51:24","00:53:25","2","62"
Running,2019-07-28 09:31:08,false,"Lexington Running","12.02","966","01:18:30","158","183","4.9","167","176","6:32","5:06","265","274","1.48","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","02:22.18","13","0.0","01:18:26","01:25:30","123","226"
Running,2019-07-27 13:33:40,false,"Cambridge Running","7.01","581","00:48:38","155","173","3.8","164","172","6:56","5:57","76","77","1.41","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:05.05","8","0.0","00:48:23","01:10:15","3","62"
Running,2019-07-26 17:19:58,false,"Manchester Running","8.02","695","00:53:15","164","189","5.0","163","174","6:38","5:57","253","260","1.49","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:05.63","9","0.0","00:53:13","00:54:11","216","431"
Running,2019-07-25 07:18:22,false,"Delaware Running","7.07","588","00:48:26","157","172","4.0","167","176","6:51","5:46","796","798","1.41","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:27.22","8","0.0","00:48:23","00:50:47","1,056","1,583"
Running,2019-07-24 06:42:35,false,"Delaware Running","8.18","599","00:53:16","152","168","3.9","167","240","6:31","5:44","808","808","1.48","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","01:07.85","9","0.0","00:53:04","01:00:39","1,055","1,445"
Running,2019-07-23 06:19:41,false,"Cambridge Running","6.00","557","00:45:04","159","193","4.4","164","248","7:30","5:23","90","86","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:01.62","7","0.0","00:45:03","00:54:10","5","75"
Running,2019-07-21 10:05:05,false,"Lexington Running","6.01","542","00:42:58","160","178","4.0","166","172","7:09","6:25","246","246","1.36","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:02.40","7","0.0","00:42:57","00:42:58","144","226"
Running,2019-07-20 11:23:13,false,"Lexington Running","8.52","740","00:57:20","163","201","5.0","165","218","6:44","6:10","260","266","1.45","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","03:24.44","9","0.0","00:57:18","00:59:21","125","226"
Running,2019-07-19 16:20:28,false,"Needham Running","7.03","630","00:51:41","155","178","4.1","162","176","7:21","5:58","111","114","1.35","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:10.04","8","0.0","00:51:37","00:53:31","74","127"
Running,2019-07-18 06:52:32,false,"Cambridge Running","6.02","514","00:42:58","153","177","3.6","163","175","7:08","6:37","33","33","1.38","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:07.76","7","0.0","00:42:54","00:46:59","7","26"
Running,2019-07-17 06:46:58,false,"Cambridge Running","6.01","530","00:43:07","154","179","3.8","165","171","7:11","6:32","100","103","1.36","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:06.05","7","0.0","00:42:38","00:44:42","3","62"
Running,2019-07-16 17:21:33,false,"Needham Running","7.17","595","00:53:11","145","174","3.5","162","174","7:25","6:25","165","176","1.34","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","01:05.29","8","0.0","00:52:44","00:55:36","79","118"
Running,2019-07-15 06:38:48,false,"Cambridge Running","5.01","409","00:35:11","149","172","3.3","164","172","7:01","6:16","36","39","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:05.87","6","0.0","00:34:50","00:36:11","7","52"
Running,2019-07-14 11:10:35,false,"Cambridge Running","6.01","478","00:40:51","154","177","3.7","164","171","6:48","6:08","110","110","1.45","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:05.05","7","0.0","00:40:08","00:44:19","5","103"
Running,2019-07-13 09:11:46,false,"Cambridge Running","4.02","252","00:27:59","132","148","2.2","165","174","6:58","6:17","20","22","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:07.77","5","0.0","00:27:43","00:30:43","7","26"
Running,2019-07-12 06:14:03,false,"Cambridge Running","7.29","615","00:51:21","163","188","5.0","166","177","7:03","6:24","101","99","1.38","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:08.05","10","0.0","00:50:46","01:02:10","3","62"
Running,2019-07-11 17:22:56,false,"Needham Running","6.15","559","00:47:03","160","184","4.2","164","172","7:39","6:37","147","160","1.29","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","01:09.80","7","0.0","00:46:36","00:48:01","74","128"
Running,2019-07-10 17:08:07,false,"Lexington Running","5.01","420","00:35:15","162","178","4.0","164","171","7:02","6:27","108","117","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:03.33","6","0.0","00:34:52","00:35:15","169","226"
Running,2019-07-09 17:42:31,false,"Needham Running","6.16","555","00:47:01","158","184","4.3","161","174","7:38","6:42","156","138","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","01:00.54","7","0.0","00:46:30","00:47:48","74","128"
Running,2019-07-08 17:22:02,false,"Needham Running","5.06","426","00:37:54","149","184","3.5","160","171","7:29","6:53","105","102","1.35","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:29.01","6","0.0","00:37:06","00:38:05","74","130"
Running,2019-06-29 16:13:18,false,"Babylon Running","0.90","76","00:06:30.3","153","160","2.0","167","172","7:15","6:06","7","--","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:00.00","1","0.0","00:06:26","00:06:30.3","10","23"
Running,2019-06-29 14:10:22,false,"Babylon Running","0.80","66","00:06:07.6","140","158","1.7","162","227","7:42","6:05","--","10","1.29","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:00.00","1","0.0","00:06:05","00:06:07.6","10","23"
Running,2019-06-26 17:42:11,false,"Needham Running","8.01","698","00:59:29","155","183","4.2","162","184","7:25","5:48","190","176","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:04.78","9","0.0","00:58:52","01:03:27","73","128"
Running,2019-06-25 20:12:34,false,"Cambridge Running","1.07","92","00:08:34.8","141","172","2.0","162","169","8:03","7:14","--","--","1.23","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:30.27","2","0.0","00:08:27","00:09:43.5","10","13"
Running,2019-06-25 18:18:12,false,"Cambridge Running","7.65","566","00:52:26","148","169","3.5","166","201","6:51","3:28","3","3","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:19.79","27","0.0","00:49:17","01:34:19","10","14"
Running,2019-06-24 17:21:44,false,"Needham Running","7.01","619","00:50:57","157","185","4.3","163","172","7:16","6:18","105","116","1.36","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:04.78","8","0.0","00:50:30","00:50:57","73","128"
Running,2019-06-23 11:46:59,false,"Lexington Running","8.32","680","00:55:35","161","187","4.7","164","179","6:41","5:48","265","274","1.47","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","02:01.79","9","0.0","00:55:06","00:58:31","125","226"
Running,2019-06-21 16:22:48,false,"Needham Running","5.16","479","00:38:32","158","183","3.8","165","236","7:28","6:09","116","104","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","01:04.100","6","0.0","00:38:12","00:41:28","73","128"
Running,2019-06-20 07:15:14,false,"Cambridge Running","1.51","119","00:11:00","141","160","2.1","167","177","7:16","6:05","--","--","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","03:38.41","2","0.0","00:10:45","00:14:58","10","22"
Running,2019-06-19 17:01:44,false,"Brookline Running","6.08","455","00:42:38","144","183","3.3","164","241","7:01","5:49","400","410","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:30.73","7","0.0","00:42:05","00:49:20","69","246"
Running,2019-06-17 20:37:41,false,"Cambridge Running","5.89","505","00:42:01","159","178","3.9","162","169","7:08","6:11","7","11","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","06:09.17","6","0.0","00:41:38","00:44:22","7","25"
Running,2019-06-17 17:53:54,false,"Cambridge Running","1.00","71","00:07:12.2","135","145","1.7","164","169","7:10","6:21","--","3","1.37","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:02.21","2","0.0","00:07:07","00:08:20.6","7","14"
Running,2019-06-16 12:28:31,false,"Brookhaven Running","8.63","746","01:00:58","161","182","5.0","166","190","7:04","4:11","178","183","1.37","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:17.64","17","0.0","01:00:10","01:06:18","128","220"
Running,2019-06-15 12:10:46,false,"Brookhaven Running","6.75","601","00:48:51","160","185","4.2","167","174","7:14","6:40","96","123","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","05:19.52","7","0.0","00:48:23","00:50:12","--","66"
Running,2019-06-11 21:17:46,false,"Boston Running","1.21","92","00:09:29.6","131","150","1.7","164","175","7:49","7:14","10","16","1.26","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","01:39.70","2","0.0","00:09:20","00:10:16","--","20"
Running,2019-06-11 18:45:56,false,"Cambridge Running","11.67","814","01:25:43","144","172","3.3","166","233","7:21","3:52","16","20","1.30","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:03.64","44","0.0","01:19:23","01:54:44","--","27"
Running,2019-06-10 16:40:38,false,"Needham Running","8.23","671","01:00:14","150","171","3.7","165","174","7:19","6:19","183","192","1.34","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","01:32.72","9","0.0","00:59:42","01:01:41","73","129"
Running,2019-06-08 20:16:41,false,"Waltham Running","1.02","98","00:09:28.8","137","165","1.9","163","171","9:19","7:37","--","--","1.06","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:08.36","2","0.0","00:09:25","00:09:28.8","36","51"
Running,2019-06-08 19:15:14,false,"Waltham Running","0.34","26","00:02:39.2","136","160","1.2","165","177","7:47","6:39","--","--","1.25","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:00.00","1","0.0","00:02:30","00:07:28.4","36","49"
Running,2019-06-08 18:47:16,false,"Waltham Running","3.07","228","00:20:26","148","172","2.7","166","176","6:39","4:49","60","60","1.46","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:28.64","4","0.0","00:20:13","00:21:04","36","81"
Running,2019-06-08 10:16:35,false,"Cambridge Running","1.48","128","00:11:14","151","168","2.3","166","172","7:36","5:51","--","--","1.27","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","03:35.12","2","0.0","00:11:06","00:11:30","7","20"
Running,2019-06-07 16:24:38,false,"Needham Running","7.59","752","00:59:39","161","182","4.9","164","186","7:52","4:21","165","158","1.24","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:14.35","15","0.0","00:58:49","01:07:50","73","114"
Running,2019-06-06 17:59:44,false,"Cambridge Running","8.09","646","00:56:45","151","175","3.8","167","172","7:01","6:30","42","46","1.38","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:39.50","9","0.0","00:56:12","01:11:34","4","51"
Running,2019-06-05 18:41:30,false,"Boston Running","2.67","254","00:21:06","156","180","3.1","164","172","7:55","7:03","47","37","1.24","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","05:03.41","3","0.0","00:20:55","00:39:09","4","62"
Running,2019-06-05 17:16:48,false,"Cambridge Running","6.94","511","00:45:50","149","165","3.3","169","186","6:36","4:31","45","53","1.42","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:12.45","15","0.0","00:42:30","01:09:21","3","62"
Running,2019-06-04 17:33:06,false,"Needham Running","8.02","749","00:58:02","163","186","4.7","166","180","7:14","5:27","157","167","1.34","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:05.52","9","0.0","00:57:33","01:01:39","73","128"
Running,2019-06-04 07:08:29,false,"Cambridge Running","4.06","282","00:28:36","134","150","2.3","168","172","7:03","6:18","44","49","1.36","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:20.74","5","0.0","00:28:18","00:28:47","7","52"
Running,2019-06-03 17:32:51,false,"Needham Running","11.01","906","01:17:09","153","183","4.5","167","180","7:00","5:29","231","224","1.38","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:05.31","12","0.0","01:16:27","01:17:46","73","128"
Running,2019-06-02 08:05:57,false,"Lexington Running","10.15","825","01:14:31","148","174","3.8","167","176","7:21","6:38","345","347","1.32","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","01:00.91","11","0.0","01:13:55","01:15:41","125","249"
Running,2019-06-01 11:36:13,false,"Cambridge Running","18.01","1,440","02:00:19","161","193","5.0","169","178","6:41","5:47","106","99","1.43","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:05.01","19","0.0","01:59:06","02:16:26","--","47"
Running,2019-05-31 17:08:33,false,"Needham Running","9.04","832","01:07:32","160","180","4.4","165","178","7:28","6:19","175","175","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:18.15","10","0.0","01:07:00","01:11:07","73","128"
Running,2019-05-30 17:30:13,false,"Cambridge Running","7.01","601","00:52:53","148","170","3.4","167","172","7:33","6:52","97","95","1.28","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:04.62","8","0.0","00:52:23","00:55:32","3","62"
Running,2019-05-30 06:43:16,false,"Cambridge Running","4.01","385","00:30:23","155","173","3.4","167","174","7:34","6:42","20","23","1.27","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:04.10","5","0.0","00:30:05","00:32:05","10","43"
Running,2019-05-29 17:14:13,false,"Cambridge Running","12.13","946","01:22:17","152","175","3.8","169","196","6:47","3:48","95","95","1.38","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:25.14","39","0.0","01:16:20","01:51:34","3","62"
Running,2019-05-28 17:19:28,false,"Needham Running","11.02","947","01:13:31","158","184","4.8","167","180","6:40","5:39","247","252","1.44","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:07.80","12","0.0","01:12:48","01:19:09","80","164"
Running,2019-05-27 09:04:52,false,"Cambridge Running","10.01","853","01:07:53","155","174","4.1","166","173","6:47","6:03","88","86","1.43","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:02.84","11","0.0","01:07:14","01:13:24","3","62"
Running,2019-05-26 09:11:05,false,"Lexington Running","16.04","1,161","01:40:13","152","177","4.6","167","176","6:15","5:11","304","311","1.54","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:14.35","17","0.0","01:39:15","01:44:21","115","226"
Running,2019-05-25 16:36:07,false,"Cambridge Running","9.47","807","01:05:50","157","181","4.4","167","174","6:57","6:14","94","91","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","03:18.93","10","0.0","01:04:56","01:13:43","3","62"
Running,2019-05-24 14:20:32,false,"Needham Running","4.04","343","00:30:07","145","167","3.1","165","174","7:28","6:30","116","109","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:13.99","5","0.0","00:29:50","00:30:07","74","128"
Running,2019-05-24 06:34:21,false,"Cambridge Running","7.01","625","00:47:59","162","181","4.4","165","172","6:51","6:09","19","16","1.42","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:08.02","8","0.0","00:47:39","00:48:01","7","23"
Running,2019-05-23 06:29:40,false,"Cambridge Running","9.02","777","01:03:35","152","172","4.0","167","174","7:03","6:11","68","71","1.37","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:09.55","10","0.0","01:02:53","01:04:55","5","62"
Running,2019-05-22 17:15:31,false,"Needham Running","12.02","993","01:16:53","162","185","5.0","170","186","6:24","4:39","194","205","1.48","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:23.01","18","0.0","01:16:09","01:28:41","73","101"
Running,2019-05-21 06:49:00,false,"Cambridge Running","10.01","837","01:07:54","156","172","4.3","168","174","6:47","5:59","105","105","1.41","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:02.58","11","0.0","01:07:21","01:10:54","3","62"
Running,2019-05-20 17:34:05,false,"Needham Running","8.19","691","01:01:15","146","179","3.3","166","178","7:29","6:10","220","222","1.29","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","01:11.92","9","0.0","01:00:32","01:06:21","73","128"
Running,2019-05-19 17:13:56,false,"Cambridge Running","4.09","326","00:29:06","142","163","3.0","167","223","7:06","6:20","10","10","1.35","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:38.11","5","0.0","00:28:42","00:30:01","--","20"
Running,2019-05-19 10:05:32,false,"Cambridge Running","6.81","557","00:47:17","151","170","3.7","166","176","6:57","6:00","42","42","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","05:14.14","7","0.0","00:46:53","00:53:28","7","60"
Running,2019-05-18 20:11:38,false,"Lowell Running","1.54","162","00:12:36","162","179","2.7","170","176","8:10","7:39","--","2","1.16","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","04:23.40","2","0.0","00:12:29","00:12:36","69","75"
Running,2019-05-18 19:30:39,false,"Lowell Running","4.20","257","00:20:18","162","192","3.2","179","196","4:50","4:21","--","3","1.86","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","0:00","0.0","0:00","No","00:56.74","5","0.0","00:20:06","00:20:18","69","75"
