Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2019-10-13 09:35:04,false,"Boston Running","0.97","130","00:09:44.9","163","170","2.4","158","172","10:02","7:35","15","17","1.02","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","1","0.0","00:09:44","00:09:58.7","138","157"
Running,2019-10-13 08:03:14,false,"Boston Running","13.24","1,013","01:13:30","174","188","5.0","174","186","5:33","4:47","387","381","1.67","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:23.64","14","0.0","01:13:26","01:13:30","11","160"
Running,2019-10-13 07:13:38,false,"Boston Running","1.95","183","00:15:22","151","160","2.6","164","172","7:54","7:16","53","50","1.24","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","07:29.02","2","0.0","00:15:22","00:15:22","115","150"
Running,2019-10-12 11:10:06,false,"Cambridge Running","4.74","392","00:33:38","150","168","3.3","166","180","7:06","5:08","--","3","1.36","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:22.21","13","0.0","00:33:33","00:35:37","10","25"
Running,2019-10-11 17:20:45,false,"Cambridge Running","7.11","657","00:51:00","161","177","4.5","167","180","7:11","6:34","--","2","1.34","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:43.10","8","0.0","00:50:57","00:54:33","7","25"
Running,2019-10-10 17:04:06,false,"Boston Running","9.05","568","01:01:55","133","154","2.7","166","184","6:51","5:24","317","321","1.41","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:15.79","10","0.0","01:01:41","01:07:07","91","249"
Running,2019-10-09 17:22:53,false,"Needham Running","8.01","677","01:01:42","145","179","3.7","164","176","7:42","6:53","111","112","1.27","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.74","9","0.0","01:01:40","01:03:02","73","128"
Running,2019-10-08 18:45:50,false,"Cambridge Running","10.65","767","01:14:05","147","183","3.2","167","190","6:58","4:14","88","88","1.37","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:08.19","24","0.0","01:11:53","01:54:31","10","52"
Running,2019-10-08 06:40:13,false,"Cambridge Running","4.01","365","00:30:44","152","187","3.4","168","176","7:40","6:09","12","16","1.25","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.39","5","0.0","00:30:41","00:33:44","7","30"
Running,2019-10-07 17:28:25,false,"Needham Running","8.49","691","01:02:44","147","170","3.4","165","176","7:23","6:16","180","173","1.32","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:13.94","9","0.0","01:02:42","01:04:26","74","132"
