Team,Passing Attempts,Passing Completions,Passing Completion %,Passing Yards/Attempt,Pass Yds,Passing TDs,Passing Interceptions,Passing Rate,Passing 1st Downs,Passing 1st Down %,Passing 20+,Passing 40+,Passing Longest,Passing Sacks,Passing Sack Yards,Receiving Receptions,Receiving Yards,Receiving Yards/Reception,Receiving TDs,Receiving 20+,Receiving 40+,Receiving Longest,Receiving 1st Downs,Receiving 1st Down %,Receiving Fumbles,Rushing Attempts,Rushing Yards,Rushing Yards/Carry,Rushing TDs,Rushing 20+,Rushing 40+,Rushing Longest,Rushing 1st Downs,Rushing 1st Down %,Rushing Fumbles
Cardinals,30,21,70,4.4,132,0,0,78.8,9,30,1,0,31,3,18,21,132,6.3,0,1,0,31,9,42.9,0,25,96,3.8,0,1,0,29,4,16,2
Browns,29,16,55.2,5.3,154,1,1,67.3,9,31,2,0,33,3,10,16,154,9.6,1,2,0,33T,9,56.2,0,40,206,5.2,1,0,0,19T,12,30,2
49ers,29,19,65.5,7.6,220,2,0,111.3,13,44.8,3,0,23,3,17,19,220,11.6,2,3,0,23,13,68.4,1,34,188,5.5,1,1,1,65T,8,23.5,0
Packers,27,15,55.6,9.1,245,3,0,123.2,10,37,4,1,51,1,8,15,245,16.3,3,4,1,51,10,66.7,0,32,92,2.9,1,0,0,10,5,15.6,1
Raiders,26,20,76.9,7.7,200,2,1,107.8,11,42.3,2,0,21,0,0,20,200,10,2,2,0,21,11,55,0,29,61,2.1,0,0,0,8,5,17.2,1
Seahawks,26,16,61.5,4.3,112,1,0,84.1,7,26.9,1,0,28,2,17,16,112,7,1,1,0,28,7,43.8,0,18,85,4.7,0,0,0,15,3,16.7,0
Cowboys,25,13,52,5.7,143,0,0,69.2,8,32,1,1,49,0,0,13,143,11,0,1,1,49,8,61.5,1,30,122,4.1,3,1,0,25T,7,23.3,0
Ravens,22,17,77.3,7.7,169,0,1,79.6,8,36.4,3,0,29,4,14,17,169,9.9,0,3,0,29,8,47.1,0,32,110,3.4,3,0,0,14T,7,21.9,1
Jets,22,14,63.6,6.4,140,1,1,77.8,7,31.8,3,0,24,3,23,14,140,10,1,3,0,24,7,50,0,28,172,6.1,0,2,1,83,5,17.9,1
Falcons,18,15,83.3,6.4,115,1,0,111.8,6,33.3,1,0,34,4,24,15,115,7.7,1,1,0,34,6,40,0,26,130,5,2,2,0,22,7,26.9,0
