Team,Passing Attempts,Passing Completions,Passing Completion %,Passing Yards/Attempt,Pass Yds,Passing TDs,Passing Interceptions,Passing Rate,Passing 1st Downs,Passing 1st Down %,Passing 20+,Passing 40+,Passing Longest,Passing Sacks,Passing Sack Yards,Receiving Receptions,Receiving Yards,Receiving Yards/Reception,Receiving TDs,Receiving 20+,Receiving 40+,Receiving Longest,Receiving 1st Downs,Receiving 1st Down %,Receiving Fumbles,Rushing Attempts,Rushing Yards,Rushing Yards/Carry,Rushing TDs,Rushing 20+,Rushing 40+,Rushing Longest,Rushing 1st Downs,Rushing 1st Down %,Rushing Fumbles
Vikings,88,64,72.7,8,708,6,1,114.2,34,38.6,11,2,62T,4,34,64,708,11.1,6,11,2,62T,34,53.1,1,26,69,2.6,0,0,0,9,2,7.7,2
Eagles,56,40,71.4,6.5,363,2,1,93.1,12,21.4,3,2,63T,7,38,40,363,9.1,2,3,2,63T,12,30,0,73,356,4.9,3,1,1,43,25,34.2,1
Patriots,54,35,64.8,5.8,316,3,1,91.3,18,33.3,2,0,32,2,10,35,316,9,3,2,0,32T,18,51.4,1,22,76,3.4,0,0,0,11,5,22.7,0
Steelers,46,31,67.4,5,232,1,2,68.4,9,19.6,2,0,31,5,34,31,232,7.5,1,2,0,31T,9,29,0,10,41,4.1,0,1,0,24,3,30,0
Dolphins,45,28,62.2,10.4,466,3,1,110,23,51.1,8,1,47,0,0,28,466,16.6,3,8,1,47,23,82.1,0,20,70,3.5,1,0,0,12,5,25,2
Texans,44,28,63.6,5.5,242,0,0,78,13,29.6,1,0,26,5,46,28,242,8.6,0,1,0,26,13,46.4,0,23,72,3.1,0,0,0,11,1,4.4,0
Bills,41,29,70.7,5.8,236,1,3,62.6,11,26.8,1,0,26,5,19,29,236,8.1,1,1,0,26,11,37.9,0,22,97,4.4,0,0,0,14,8,36.4,2
Colts,39,24,61.5,5.7,223,1,1,75,12,30.8,3,0,39T,4,8,24,223,9.3,1,3,0,39T,12,50,1,26,65,2.5,1,0,0,12,4,15.4,1
Chiefs,39,21,53.8,5.8,226,2,1,77.5,10,25.6,4,0,34,0,0,21,226,10.8,2,4,0,34,10,47.6,0,23,90,3.9,0,0,0,16,6,26.1,0
Panthers,38,20,52.6,3.8,146,1,2,48.8,9,23.7,0,0,14,2,19,20,146,7.3,1,0,0,14,9,45,0,32,154,4.8,0,1,0,21,9,28.1,2
Rams,38,24,63.2,8.8,334,0,0,91.3,17,44.7,6,1,44,0,0,24,334,13.9,0,6,1,44,17,70.8,0,40,92,2.3,3,0,0,12,8,20,0
Bears,37,24,64.9,5.8,216,1,1,78.2,12,32.4,2,0,23,4,27,24,216,9,1,2,0,23,12,50,0,29,122,4.2,1,0,0,12,8,27.6,0
Lions,35,22,62.9,7.2,253,1,0,94.1,11,31.4,4,0,33,1,3,22,253,11.5,1,4,0,33,11,50,1,34,118,3.5,1,0,0,18T,8,23.5,0
Broncos,34,27,79.4,5.2,177,2,0,108,11,32.4,2,0,21,2,11,27,177,6.6,2,2,0,21,11,40.7,0,22,94,4.3,0,0,0,12,5,22.7,0
Titans,34,16,47.1,5.8,198,0,3,28.8,8,23.5,3,1,46,3,17,16,198,12.4,0,3,1,46,8,50,0,22,104,4.7,0,0,0,18,5,22.7,0
Buccaneers,34,21,61.8,5.1,173,2,0,94.4,9,26.5,1,0,28T,1,4,21,173,8.2,2,1,0,28,9,42.9,0,33,73,2.2,0,0,0,6,5,15.2,0
Saints,33,23,69.7,9.2,305,1,1,96.2,12,36.4,5,2,45,4,23,23,305,13.3,1,5,2,45,12,52.2,0,27,69,2.6,0,0,0,11,2,7.4,1
Chargers,33,23,69.7,6.9,229,1,0,99.2,10,30.3,3,0,36,3,29,23,229,10,1,3,0,36,10,43.5,0,40,233,5.8,3,1,1,55,17,42.5,0
Bengals,32,14,43.8,2.6,82,0,0,51,3,9.4,0,0,12,2,15,14,82,5.9,0,0,0,12,3,21.4,0,20,75,3.8,0,1,0,22,2,10,0
Jaguars,32,24,75,7.5,241,2,1,103.8,10,31.2,3,0,29,2,4,24,241,10,2,3,0,29T,10,41.7,1,35,105,3,2,1,0,26T,9,25.7,0
Commanders,31,19,61.3,6.5,202,1,1,77.6,10,32.3,1,0,32,6,46,19,202,10.6,1,1,0,32T,10,52.6,0,28,92,3.3,1,0,0,7T,7,25,1
Giants,30,17,56.7,3.7,110,0,2,36.8,5,16.7,2,0,24,7,47,17,110,6.5,0,2,0,24,5,29.4,2,28,108,3.9,0,0,0,18,6,21.4,1
