RANK,RIDER,RIDER NO.,TEAM,TIMES,GAP,B,P
97, JULIUS JOHANSEN,134,INTERMARCHÉ - CIRCUS - WANTY,72H 30' 54'',+ 03H 17' 18'',-,-
98, FILIPPO GANNA,36,INEOS GRENADIERS,72H 30' 54'',+ 03H 17' 18'',B : 12'',-
99, GEOFFREY SOUPE,187,TOTALENERGIES,72H 32' 12'',+ 03H 18' 36'',B : 10'',-
100, KEVIN LEDANOIS,175,TEAM ARKEA - SAMSIC,72H 33' 14'',+ 03H 19' 38'',-,-
101, JOEL NICOLAU BELTRAN,217,CAJA RURAL-SEGUROSRGA,72H 34' 37'',+ 03H 21' 01'',B : 6'',-
102, ANDREA VENDRAME,116,AG2R CITROEN TEAM,72H 35' 20'',+ 03H 21' 44'',B : 4'',-
103, LEWIS ASKEY,63,GROUPAMA - FDJ,72H 35' 32'',+ 03H 21' 56'',-,-
104, SYLVAIN MONIQUET,96,LOTTO DSTNY,72H 36' 42'',+ 03H 23' 06'',B : 6'',-
105, EDUARDO SEPULVEDA,97,LOTTO DSTNY,72H 36' 56'',+ 03H 23' 20'',B : 6'',-
106, DAVID GONZALEZ LOPEZ,216,CAJA RURAL-SEGUROSRGA,72H 37' 02'',+ 03H 23' 26'',B : 4'',-
107, PAUL LAPEIRA,114,AG2R CITROEN TEAM,72H 43' 26'',+ 03H 29' 50'',-,-
108, SEAN FLYNN,164,TEAM DSM-FIRMENICH,72H 43' 43'',+ 03H 30' 07'',B : 4'',-
109, JETSE BOL,203,BURGOS-BH,72H 44' 45'',+ 03H 31' 09'',-,-
110, DRIES VAN GESTEL,188,TOTALENERGIES,72H 45' 21'',+ 03H 31' 45'',B : 4'',-
111, CYRIL BARTHE,202,BURGOS-BH,72H 45' 24'',+ 03H 31' 48'',-,-
112, MICHAL SCHLEGEL,218,CAJA RURAL-SEGUROSRGA,72H 47' 30'',+ 03H 33' 54'',-,-
113, OTTO VERGAERDE,58,LIDL-TREK,72H 47' 37'',+ 03H 34' 01'',-,-
114, JAN MAAS,125,TEAM JAYCO ALULA,72H 48' 04'',+ 03H 34' 28'',-,-
115, HUGO HOFSTETTER,173,TEAM ARKEA - SAMSIC,72H 48' 17'',+ 03H 34' 41'',-,-
116, OMAR FRAILE MATARRANZ,37,INEOS GRENADIERS,72H 48' 31'',+ 03H 34' 55'',-,-
117, JULIUS VAN DEN BERG,108,EF EDUCATION - EASYPOST,72H 51' 54'',+ 03H 38' 18'',B : 4'',-
118, SÉBASTIEN GRIGNARD,93,LOTTO DSTNY,72H 55' 00'',+ 03H 41' 24'',-,-
119, JIMMY JANSSENS,86,ALPECIN-DECEUNINCK,72H 55' 16'',+ 03H 41' 40'',-,-
120, FRANÇOIS BIDARD,153,COFIDIS,72H 55' 34'',+ 03H 41' 58'',-,-
121, EDWARD THEUNS,57,LIDL-TREK,72H 55' 56'',+ 03H 42' 20'',B : 8'',-
122, STEFAN BISSEGGER,102,EF EDUCATION - EASYPOST,72H 56' 28'',+ 03H 42' 52'',-,-
123, KADEN GROVES,81,ALPECIN-DECEUNINCK,72H 57' 29'',+ 03H 43' 53'',B : 58'',-
124, BOY VAN POPPEL,138,INTERMARCHÉ - CIRCUS - WANTY,72H 57' 45'',+ 03H 44' 09'',B : 4'',-
125, MARIJN VAN DEN BERG,107,EF EDUCATION - EASYPOST,72H 58' 38'',+ 03H 45' 02'',B : 12'',-
